Surp(One) Surp(A_few) Surp(Some) Surp(Most) Surp(All)
BEGIN INCREMENTAL MODELS
ModelName: /content/drive/MyDrive/Zarpies/models/incremental/gpt2_adapted_zarpiesT1
32.873992919921875 36.73916244506836 31.678674697875977 31.331811904907227 31.585926055908203
44.02737808227539 45.47053527832031 37.878639221191406 39.68975067138672 37.82831954956055
44.39457702636719 53.006996154785156 50.85247802734375 50.74896240234375 49.053924560546875
30.439298629760742 31.290246963500977 28.153976440429688 27.894981384277344 27.05530548095703
35.35716247558594 43.90315246582031 39.33735275268555 39.51234817504883 39.405372619628906
35.646095275878906 37.96730422973633 32.982398986816406 33.789573669433594 32.81858825683594
35.322471618652344 36.081024169921875 31.071239471435547 32.7069091796875 31.30326271057129
32.54612731933594 36.67411804199219 32.82614517211914 34.09879684448242 33.56254577636719
34.88010787963867 32.963523864746094 29.151975631713867 28.84172248840332 28.182384490966797
25.8779296875 30.31094741821289 24.888673782348633 25.52828025817871 25.82647705078125
36.36783981323242 35.7205924987793 30.53135871887207 31.963407516479492 30.632360458374023
38.19389724731445 40.3851203918457 36.493743896484375 37.52179718017578 39.64013671875
34.322818756103516 36.625858306884766 32.64039993286133 34.11809539794922 34.56940841674805
30.150550842285156 36.06007385253906 31.378990173339844 32.93003463745117 31.5701961517334
33.66518020629883 37.68500900268555 32.85199737548828 32.49631881713867 33.6957893371582
39.54485321044922 39.75444030761719 34.92929458618164 36.62031555175781 37.887916564941406
34.5347900390625 42.34065246582031 38.68901824951172 38.38090133666992 38.652835845947266
35.9040412902832 48.89326858520508 44.57056427001953 44.8248291015625 44.961021423339844
40.25132369995117 44.88438034057617 41.699989318847656 42.4245719909668 43.96733093261719
37.746742248535156 41.54364013671875 37.52212905883789 37.824562072753906 37.0384521484375
32.37040710449219 34.60606002807617 30.504220962524414 32.17119598388672 33.100868225097656
29.51009178161621 35.982757568359375 31.115631103515625 31.871374130249023 31.629444122314453
30.83123207092285 34.68954849243164 30.955883026123047 29.603252410888672 28.293745040893555
34.3779296875 37.64579772949219 32.45664596557617 34.1739387512207 33.29484558105469
37.90861511230469 40.14262008666992 34.72810745239258 35.42377471923828 38.736148834228516
43.307289123535156 49.267269134521484 45.60145568847656 46.868408203125 46.03738021850586
35.624183654785156 41.034332275390625 36.587547302246094 37.67832565307617 41.32554244995117
ModelName: /content/drive/MyDrive/Zarpies/models/incremental/distilgpt2_adapted_zarpiesT1
40.54053497314453 39.171409606933594 34.67438888549805 33.769012451171875 37.00004196166992
40.762855529785156 40.00798797607422 34.56227111816406 36.032257080078125 36.538551330566406
40.498390197753906 44.00437545776367 42.442012786865234 44.2144775390625 42.19638442993164
29.703832626342773 32.396934509277344 30.357202529907227 30.424753189086914 29.60742950439453
36.764530181884766 39.63838577270508 34.94503402709961 36.93963623046875 40.347938537597656
37.31044387817383 40.198265075683594 36.31370544433594 35.765098571777344 37.12477111816406
39.77373123168945 37.43480682373047 33.09504699707031 33.475975036621094 34.20737075805664
35.23402786254883 51.85668182373047 45.12548828125 48.25648498535156 50.974056243896484
38.786460876464844 33.88914108276367 28.31940269470215 27.661083221435547 27.046903610229492
30.962722778320312 27.608678817749023 23.216930389404297 22.81572151184082 20.9952392578125
39.557373046875 36.28276443481445 31.283641815185547 32.59281539916992 33.007381439208984
34.85136032104492 41.37500762939453 36.309852600097656 36.881683349609375 36.705745697021484
43.922218322753906 38.8663444519043 35.20384979248047 34.90016174316406 35.59670639038086
43.709716796875 42.482421875 38.13331985473633 38.811119079589844 40.45964813232422
38.75178527832031 36.81853485107422 32.07614517211914 33.49878692626953 33.75257110595703
34.030860900878906 35.2720947265625 30.44682502746582 29.486345291137695 29.447959899902344
43.81208038330078 50.74639129638672 43.176368713378906 44.77186584472656 46.29017639160156
45.235191345214844 42.87702178955078 37.37846374511719 38.11985778808594 41.71355056762695
34.50249481201172 34.62457275390625 30.199039459228516 30.07109832763672 30.487751007080078
44.52546691894531 37.50101852416992 33.63483810424805 33.49528503417969 34.5455322265625
46.558197021484375 42.08827590942383 36.06096267700195 35.74017333984375 37.978271484375
42.03046417236328 36.99456787109375 32.71403503417969 33.979034423828125 35.0433464050293
37.72404479980469 32.45890808105469 28.564422607421875 29.836544036865234 29.842578887939453
34.24936294555664 33.48177719116211 32.47533416748047 31.84966278076172 32.807289123535156
34.06361389160156 32.616180419921875 27.623252868652344 28.3065185546875 27.731369018554688
43.00009536743164 40.36414337158203 35.68528747558594 36.13927459716797 38.61488342285156
38.86369705200195 36.7844123840332 31.47045135498047 32.790462493896484 32.688148498535156
42.46277618408203 43.48473358154297 39.169837951660156 39.36750793457031 40.24335479736328
40.49297332763672 38.90831756591797 35.300270080566406 35.75193786621094 35.19365310668945
41.54328155517578 36.95381164550781 31.687419891357422 31.40779685974121 33.95256423950195
32.043434143066406 29.526464462280273 25.671167373657227 26.58719253540039 27.286579132080078
42.73329162597656 38.4489631652832 33.58396530151367 34.371498107910156 36.628028869628906
36.48611068725586 34.36219787597656 30.57748794555664 30.383893966674805 31.281763076782227
38.066261291503906 39.41026306152344 36.11029052734375 35.86460876464844 36.27362060546875
36.117618560791016 39.484920501708984 34.49906921386719 34.579429626464844 34.6976432800293
41.34617614746094 39.16621398925781 35.513710021972656 36.70925521850586 39.047515869140625
36.568058013916016 39.6870231628418 34.75761795043945 35.1260871887207 37.52367401123047
32.93152618408203 29.96240234375 26.327241897583008 29.178068161010742 28.1110897064209
39.63327407836914 39.049888610839844 35.09108352661133 34.90162658691406 32.6934814453125
38.96692657470703 37.37226104736328 34.31687545776367 34.51768112182617 35.23017883300781
40.66608810424805 37.2902946472168 32.802223205566406 33.143341064453125 35.45194625854492
38.70925521850586 38.777164459228516 33.69003677368164 33.125553131103516 35.84819412231445
40.95976257324219 38.41082763671875 33.169410705566406 35.58827590942383 37.23553466796875
32.83988952636719 33.4512939453125 27.68450927734375 29.253860473632812 28.910812377929688
36.51578903198242 37.673065185546875 34.11222457885742 34.895545959472656 34.612361907958984
43.92913055419922 43.144989013671875 38.86107635498047 39.64680480957031 38.71466064453125
42.573116302490234 36.23443603515625 33.35565185546875 34.30598068237305 34.145023345947266
40.68702697753906 35.88016891479492 31.07132911682129 29.98222541809082 30.182979583740234
38.41385269165039 35.92192459106445 30.199480056762695 30.25680923461914 32.44934844970703
37.6609001159668 34.33068084716797 28.665637969970703 30.403419494628906 30.9737548828125
36.3010368347168 32.20140838623047 27.907459259033203 28.41280174255371 28.52667236328125
37.91334533691406 32.583106994628906 29.28961944580078 29.420215606689453 29.748933792114258
50.23331069946289 47.30052185058594 43.2247314453125 43.310325622558594 44.801883697509766
42.15447235107422 40.4500732421875 37.64601135253906 39.719688415527344 39.05332946777344
40.809600830078125 39.12687683105469 34.56580352783203 33.883995056152344 34.43282699584961
37.91354751586914 36.258209228515625 32.223304748535156 32.672515869140625 32.887306213378906
41.570011138916016 40.007537841796875 35.383140563964844 36.21774673461914 36.67150115966797
38.17139434814453 36.818092346191406 32.57081604003906 34.29896926879883 34.83735275268555
32.352352142333984 34.07267379760742 29.508848190307617 29.717674255371094 30.654054641723633
30.413816452026367 29.102006912231445 26.20245361328125 26.575679779052734 25.000919342041016
35.727352142333984 34.10023498535156 31.39179229736328 31.777509689331055 30.781108856201172
35.513031005859375 36.51939392089844 30.439781188964844 31.87615966796875 32.13119125366211
40.888824462890625 36.448020935058594 32.437721252441406 32.564613342285156 34.03749084472656
40.374019622802734 41.452266693115234 38.2115478515625 39.78105926513672 39.29954147338867
34.474639892578125 33.30250549316406 27.850576400756836 28.410001754760742 30.17580223083496
52.37726593017578 51.27226638793945 45.94113540649414 46.97406768798828 50.426551818847656
32.75149154663086 37.33186721801758 28.972383499145508 30.587881088256836 28.716461181640625
34.30044937133789 35.77108383178711 30.69388771057129 32.01087951660156 32.56462097167969
32.995765686035156 33.21122741699219 30.536149978637695 29.416902542114258 28.48464012145996
39.32502365112305 35.77491760253906 31.457195281982422 30.776630401611328 33.128170013427734
42.25633239746094 37.68701171875 32.45489501953125 33.91099548339844 35.48546600341797
39.03839111328125 34.193153381347656 30.632780075073242 31.155616760253906 33.39857482910156
42.47882080078125 42.889190673828125 38.276180267333984 39.88509750366211 40.802825927734375
35.6944580078125 41.74319076538086 36.418155670166016 36.62620162963867 37.429996490478516
